City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
94,High Level,CA,2020-12-27 17:39:28,58.52,-117.14,-0.4,91,90,4.7
95,Saskylakh,RU,2020-12-27 17:36:49,71.92,114.08,-15.52,87,99,15.88
96,Longyearbyen,SJ,2020-12-27 17:36:58,78.22,15.64,24.8,49,75,25.28
97,Katsuura,JP,2020-12-27 17:38:41,35.13,140.3,46.4,75,75,8.05
98,Klaksvik,FO,2020-12-27 17:38:27,62.23,-6.59,42.8,81,100,38.03
99,Port Alfred,ZA,2020-12-27 17:37:18,-33.59,26.89,70.0,80,75,3.0
100,Pisco,PE,2020-12-27 17:37:46,-13.7,-76.22,77.0,69,0,11.41
101,Salalah,OM,2020-12-27 17:37:04,17.02,54.09,77.0,38,0,5.82
102,Vila Franca Do Campo,PT,2020-12-27 17:35:03,37.72,-25.43,57.2,71,75,12.75
103,Martinsville,US,2020-12-27 17:39:30,36.69,-79.87,46.4,42,1,4.7
104,Chateauroux,FR,2020-12-27 17:39:31,46.82,1.7,42.8,87,100,26.4
105,Sao Joao Da Barra,BR,2020-12-27 17:38:33,-21.64,-41.05,84.2,62,20,14.99
106,Petropavlovsk-Kamchatskiy,RU,2020-12-27 17:39:31,53.05,158.65,12.2,85,100,4.47
107,Chinsali,ZM,2020-12-27 17:39:31,-10.54,32.08,66.15,91,86,3.13
108,Vostochnyy,RU,2020-12-27 17:39:31,55.82,37.87,21.2,79,90,6.71
109,Hithadhoo,MV,2020-12-27 17:37:25,-0.6,73.08,83.32,68,39,5.3
110,Les Escoumins,CA,2020-12-27 17:39:32,48.11,-69.02,21.2,53,6,12.75
111,Yanliang,CN,2020-12-27 17:39:32,34.66,109.23,39.99,86,19,4.47
112,Riyadh,SA,2020-12-27 17:39:32,24.69,46.72,53.6,40,0,4.7
113,Guerrero Negro,MX,2020-12-27 17:37:02,27.98,-114.06,68.04,59,0,6.89
114,Santa Isabel Do Rio Negro,BR,2020-12-27 17:38:22,-0.41,-65.02,89.56,60,61,4.38
115,Upernavik,GL,2020-12-27 17:37:00,72.79,-56.15,6.75,83,93,11.92
116,Lavrentiya,RU,2020-12-27 17:37:18,65.58,-171.0,3.58,90,74,17.11
117,Ust-Omchug,RU,2020-12-27 17:39:34,61.15,149.63,-38.78,76,2,3.91
118,Kapaa,US,2020-12-27 17:39:34,22.08,-159.32,75.2,73,40,13.87
119,Natalio,PY,2020-12-27 17:39:34,-26.72,-55.08,95.61,28,38,4.52
120,Marzuq,YE,2020-12-27 17:37:24,14.4,46.47,58.73,36,0,1.48
