City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
127,Nishihara,JP,26.1842,127.7558,55.4,62,75,9.22,broken clouds
128,Havoysund,NO,70.9963,24.6622,21.2,63,28,17.27,scattered clouds
129,Elat,IL,29.5581,34.9482,66.2,45,0,11.5,clear sky
130,Bluff,NZ,-46.6,168.3333,53.01,91,100,4.0,overcast clouds
131,Olga,RU,43.7444,135.2892,-3.6,78,33,8.46,scattered clouds
132,Svetlogorsk,BY,52.6333,29.7333,26.15,98,100,6.67,overcast clouds
133,Sao Joao Da Barra,BR,-21.6403,-41.0511,86.0,66,20,16.11,few clouds
134,Vila Velha,BR,-20.3297,-40.2925,84.2,70,20,19.57,light rain
135,Merrill,US,45.1805,-89.6835,23.0,93,90,3.74,overcast clouds
136,Makamba,BI,-4.1348,29.804,61.05,83,100,1.72,overcast clouds
137,Souillac,MU,-20.5167,57.5167,78.8,89,40,8.05,light rain
138,Jacareacanga,BR,-6.2222,-57.7528,83.16,81,100,3.89,light rain
139,Talnakh,RU,69.4865,88.3972,-25.28,84,36,0.78,scattered clouds
140,Arraial Do Cabo,BR,-22.9661,-42.0278,82.4,89,40,8.05,scattered clouds
141,Hithadhoo,MV,-0.6,73.0833,80.76,77,100,11.45,overcast clouds
142,Nova Prata,BR,-28.7839,-51.61,88.0,41,34,2.42,scattered clouds
143,Rochegda,RU,62.8,43.25,-6.32,92,95,1.54,overcast clouds
144,Dingle,PH,10.9995,122.6711,74.44,93,100,13.96,overcast clouds
145,Tezu,IN,27.9167,96.1667,63.16,37,70,2.82,broken clouds
146,Roma,US,43.2128,-75.4557,30.99,63,1,5.75,clear sky
147,Mancio Lima,BR,-7.6142,-72.8958,89.6,66,40,4.61,light rain
148,Chokurdakh,RU,70.6333,147.9167,-26.97,87,100,2.15,overcast clouds
149,Sorong,ID,-0.8833,131.25,81.01,80,61,6.22,broken clouds
150,Carmen,MX,18.6333,-91.8333,75.2,57,40,8.05,scattered clouds
151,Ozernovskiy,RU,51.5,156.5167,22.86,85,100,17.16,overcast clouds
152,Antofagasta,CL,-23.65,-70.4,73.0,68,20,16.11,few clouds
153,Fare,PF,-16.7,-151.0167,81.45,68,10,12.95,clear sky
154,Mahibadhoo,MV,3.7833,72.9667,81.52,77,100,7.31,light rain
